,x,y,z,eps,dx_dt
98,2.901474158948494,-6.745125841051507,3.8436516821030158,0.05,"[0.40606088592047657, -0.5039891140795232, 0.09792822815904745, 0.024999999999999994]"
99,3.110086950502077,-7.054313049497924,3.944226098995848,0.075,"[0.11341929104957593, -0.13751404228375697, 0.02409475123418009, 0.025]"
100,3.1874013896006863,-7.092598610399315,3.9051972207986294,0.1,"[0.012579139360959779, 0.06791723459905485, -0.08049637396001486, 0.02500000000000001]"
101,3.2088775707928368,-7.001722429207164,3.792844858414328,0.125,"[0.08900493333146287, 0.05601445714098752, -0.1450193904724495, 0.024999999999999994]"
102,1.2482641370906469,-3.6843358629093537,2.436071725818707,0.0,"[0.8626527608440687, -2.952737715346406, 2.0900849545023386, 0.02500000000000001]"
103,1.9117573389607687,-5.8840426610392305,3.972285322078464,0.025,"[0.48567704209820084, -1.4734848626637036, 0.9878078205655035, 0.025]"
104,2.2569325418494275,-6.774467458150573,4.517534916301146,0.05,"[0.21527180719779757, -0.5132615261355367, 0.2979897189377383, 0.024999999999999994]"
105,2.3778244479715194,-7.083575552028481,4.705751104056964,0.075,"[0.05369215508560865, -0.1355411782477245, 0.08184902316211717, 0.025]"
106,2.3935393228030777,-7.121460677196922,4.727921354393847,0.1,"[-0.025616228961981014, 0.06887900913325762, -0.043262780171275494, 0.02500000000000001]"
107,2.3603057255626663,-7.033494274437333,4.67318854887467,0.125,"[-0.01725720066227243, 0.04556660886153807, -0.028309408199266528, 0.024999999999999994]"
108,1.0641076917494336,-3.649632308250568,2.585524616501134,0.0,"[0.79035351301639, -2.9390124393645585, 2.148658926348172, 0.02500000000000001]"
109,1.6754755361999178,-5.8397644638000825,4.164288927600166,0.025,"[0.44747064480852716, -1.4668031647152824, 1.0193325199067553, 0.025]"
110,1.9916525714571296,-6.725347428542872,4.733694857085742,0.05,"[0.2048251991153337, -0.5119264675513341, 0.30710126843600005, 0.024999999999999994]"
111,2.1185384086021415,-7.03606159139786,4.917523182795719,0.075,"[0.06767489286610695, -0.13831177380055903, 0.07063688093445325, 0.025]"
112,2.1507082815832193,-7.076891718416781,4.926183436833563,0.1,"[-0.0048864480022347, 0.06503259961681307, -0.06014615161457826, 0.02500000000000001]"
113,2.1358225028153535,-6.992377497184647,4.856554994369295,0.125,"[-0.006330015688948087, 0.04361474621581607, -0.037284730526866205, 0.024999999999999994]"
114,0.8445951258833795,-3.5732448741166207,2.728649748233242,0.0,"[0.7101466000948229, -2.9110371832385096, 2.200890583143689, 0.02500000000000001]"
115,1.3979892789640656,-5.743450721035934,4.34546144207187,0.025,"[0.40334664802205167, -1.451006185311282, 1.0476595372892308, 0.025]"
116,1.6785594496685883,-6.615100550331412,4.936541100662826,0.05,"[0.19222092300269755, -0.5070850603306366, 0.3148641373279385, 0.024999999999999994]"
117,1.8143225339872664,-6.929657466012734,5.115334932025469,0.075,"[0.08697640062833156, -0.14543573270500032, 0.05845933207666948, 0.025]"
118,1.8686100900366156,-6.977878109963384,5.10926801992677,0.1,"[0.021054464864664668, 0.05592046010275986, -0.07697492496742431, 0.02500000000000001]"
119,1.8746775943683058,-6.900442405631694,5.02576481126339,0.125,"[0.0034260464350897024, 0.041558370244612064, -0.044984416679701766, 0.024999999999999994]"
120,0.22592267948091005,-3.2522773205190902,3.0263546410381807,0.0,"[0.1457227419440519, -2.606679639008328, 2.4609568970642792, 0.02500000000000001]"
121,0.34675070604562896,-5.189449293954372,4.842698587908744,0.025,"[0.10126065821585745, -1.2890488655936663, 1.1877882073778094, 0.025]"
122,0.4325366969545604,-5.95766330304544,5.525126606090882,0.05,"[0.06251468459446177, -0.4378019820722051, 0.37528729747774264, 0.024999999999999994]"
123,0.47368544527015216,-6.220514554729848,5.746829109459697,0.075,"[0.02558312424214778, -0.11105020909118524, 0.08546708484903703, 0.025]"
124,0.491224378143554,-6.247175621856446,5.755951243712893,0.1,"[0.014133669835830642, 0.062271765073925955, -0.07640543490975604, 0.02500000000000001]"
125,0.5092546646518052,-6.172945335348195,5.663690670696392,0.125,"[0.02524851354360802, 0.03335803735313192, -0.058606550896737275, 0.024999999999999994]"
126,-0.060253204100101126,-3.0672532041001013,3.127506408200203,0.0,"[-0.08472723622599296, -2.46132009336885, 2.546047329594845, 0.02500000000000001]"
127,-0.10360512656016167,-4.900405126560162,5.004010253120325,0.025,"[0.004354421682495148, -1.2273170068889332, 1.2229625852064379, 0.025]"
128,-0.060955629258371655,-5.640955629258372,5.701911258516744,0.05,"[0.043128944744693365, -0.42492105525530627, 0.38179211051061285, 0.024999999999999994]"
129,-0.03411628201953826,-5.894116282019538,5.928232564039077,0.075,"[0.019699741306958306, -0.10703359202637608, 0.08733385071941818, 0.025]"
130,-0.021889784711434043,-5.917889784711435,5.93977956942287,0.1,"[0.0033303117996666635, 0.06771126418061879, -0.07104157598028493, 0.02500000000000001]"
131,-0.02747526586816045,-5.831475265868161,5.858950531736323,0.125,"[-0.014040031908561984, 0.05385520618667883, -0.03981517427811454, 0.024999999999999994]"
132,-0.34902567583676886,-2.8288256758367685,3.1778513516735383,0.0,"[-0.5466455190047386, -2.0639193285285504, 2.6105648475332854, 0.02500000000000001]"
133,-0.6924240882030078,-4.404424088203008,5.0968481764060165,0.025,"[-0.10496797322569115, -1.1349632113209291, 1.2399311845466212, 0.025]"
134,-0.6024115999859725,-5.188411599985972,5.790823199971946,0.05,"[0.092542996757975, -0.46927366990869146, 0.3767306731507173, 0.024999999999999994]"
135,-0.5887269532855184,-5.430726953285518,6.019453906571039,0.075,"[-0.01596035063453955, -0.07612701730120569, 0.0920873679357459, 0.025]"
136,-0.6299645575925528,-5.407964557592552,6.037929115185107,0.1,"[-0.0690751915891919, 0.13068671317271185, -0.061611521583521345, 0.02500000000000001]"
137,-0.7213235414411752,-5.247323541441176,5.968647082882352,0.125,"[-0.10908680155634753, 0.13560367463412693, -0.026516873077779834, 0.024999999999999994]"
138,-1.0156828953860735,-2.1816828953860736,3.1973657907721478,0.0,"[-0.9674843574393964, -1.6585795955346365, 2.626063952974032, 0.02500000000000001]"
139,-1.7050125454711271,-3.4230125454711278,5.1280250909422564,0.025,"[-0.4014750222027375, -0.8478559745836901, 1.2493309967864275, 0.025]"
140,-1.8740415091384204,-3.956041509138421,5.8300830182768415,0.05,"[-0.07649980540951348, -0.3041664720761798, 0.3806662774856929, 0.024999999999999994]"
141,-1.9383568624379661,-4.120356862437966,6.0587137248759335,0.075,"[-0.037260991897421686, -0.0530943252307538, 0.09035531712817668, 0.025]"
142,-1.964439766206621,-4.11043976620662,6.074879532413243,0.1,"[-0.012070185981262194, 0.07731076639969015, -0.06524058041842773, 0.02500000000000001]"
143,-1.9810666992476742,-4.021066699247674,6.00213339849535,0.125,"[-0.034508199885175284, 0.06308703821006034, -0.02857883832488639, 0.024999999999999994]"
144,-1.2953512803114546,-1.8373512803114544,3.1327025606229095,0.0,"[-1.1706290676108977, -1.4097004961823272, 2.580329563793227, 0.02500000000000001]"
145,-2.13978307205163,-2.88778307205163,5.027566144103262,0.025,"[-0.5135734994985319, -0.7098592137842461, 1.2234327132827785, 0.025]"
146,-2.3871517816810783,-3.325151781681078,5.712303563362158,0.05,"[-0.12445397361824775, -0.24495397361824733, 0.369407947236495, 0.024999999999999994]"
147,-2.478003033365486,-3.4560030333654863,5.934006066730974,0.075,"[-0.049202516403907326, -0.03903584973724106, 0.08823836614114783, 0.025]"
148,-2.507663287403331,-3.4436632874033313,5.9513265748066635,0.1,"[-0.004595775811765401, 0.06749946228347281, -0.06290368647170652, 0.02500000000000001]"
149,-2.513444920982764,-3.3674449209827633,5.880889841965529,0.125,"[-0.026308453962937683, 0.052715355560874144, -0.026406901597935573, 0.024999999999999994]"
150,-1.7483342210897368,-1.130334221089737,2.8786684421794746,0.0,"[-1.4164554649971672, -1.027550703092404, 2.4440061680895733, 0.02500000000000001]"
151,-2.780804488602846,-1.8888044886028466,4.669608977205694,0.025,"[-0.656128597796211, -0.4885095501771637, 1.144638147973375, 0.025]"
152,-3.1361509842344337,-2.158150984234434,5.2943019684688695,0.05,"[-0.1827529452700371, -0.15441961193670373, 0.3371725572067405, 0.024999999999999994]"
153,-3.241960784034514,-2.2659607840345144,5.50792156806903,0.075,"[-0.0367464970286851, -0.05774649702868412, 0.09449299405736833, 0.025]"
154,-3.2445492413026353,-2.2945492413026343,5.5390984826052705,0.1,"[0.03788813056820017, 0.0013167019967712523, -0.039204832564971426, 0.02500000000000001]"
155,-3.207032580804239,-2.2870325808042393,5.494065161608479,0.125,"[0.007806969132590602, -0.0023358880102688495, -0.0054710811223213085, 0.024999999999999994]"
156,-2.3058265202097408,-0.011426520209740769,2.317253040419482,0.0,"[-1.9744737678141409, 0.11738813694776384, 1.8570856308663772, 0.02500000000000001]"
157,-3.7597912498654944,0.09280875013450578,3.6669824997309894,0.025,"[-0.9362513136254296, 0.08219630542218945, 0.8540550082032407, 0.025]"
158,-4.278295161545342,0.15370483845465716,4.124590323090687,0.05,"[-0.2923016715195626, 0.067731661813771, 0.22457000970579166, 0.024999999999999994]"
159,-4.4758188635989,0.23518113640109978,4.240637727197802,0.075,"[-0.10259784991886339, 0.08328548341447004, 0.019312366504392553, 0.025]"
160,-4.5264273718422405,0.31477262815775914,4.211654743684482,0.1,"[0.005772855024630541, 0.07654904550082138, -0.08232190052545185, 0.02500000000000001]"
161,-4.5136747332143194,0.38192526678568156,4.131749466428639,0.125,"[-0.014665971409390188, 0.053303076209658684, -0.038637104800268496, 0.024999999999999994]"
162,-2.610444801160235,0.8467551988397659,1.7636896023204691,0.0,"[-2.1284028389259055, 0.5282614467883794, 1.6001413921375272, 0.02500000000000001]"
163,-4.18547212300791,1.27712787699209,2.908344246015821,0.025,"[-1.034699617595841, 0.3525575252613021, 0.6821420923345394, 0.025]"
164,-4.786286525096893,1.5687134749031082,3.2175730501937854,0.05,"[-0.34067072559288974, 0.2040792744071106, 0.1365914511857791, 0.024999999999999994]"
165,-5.000038350636061,1.69436164936394,3.3056767012721218,0.075,"[-0.10042219714582962, 0.07334446952083651, 0.027077727624993164, 0.025]"
166,-5.038925915070762,1.7356740849292378,3.3032518301415252,0.1,"[0.02921432952030223, 0.0075381390441116025, -0.036752468564414276, 0.02500000000000001]"
167,-5.001520877048912,1.7326791229510885,3.268841754097823,0.125,"[0.00346586913980218, 0.0025468215207560263, -0.006012690660560871, 0.024999999999999994]"
168,-2.7548783129305723,1.6699216870694278,1.0849566258611447,0.0,"[-2.2898213740210096, 1.5944167212170859, 0.6954046528039238, 0.02500000000000001]"
169,-4.450041665559512,2.8819583344404887,1.5680833311190236,0.025,"[-1.111870794849798, 0.8234815861025835, 0.2883892087472141, 0.025]"
170,-5.0929010481314565,3.385098951868544,1.7078020962629128,0.05,"[-0.36831387045788533, 0.33775279620878124, 0.03056107424910401, 0.024999999999999994]"
171,-5.331467291401716,3.652532708598285,1.6789345828034317,0.075,"[-0.12018725970105604, 0.18581274029894335, -0.06562548059788725, 0.025]"
172,-5.386516874173579,3.78148312582642,1.6050337483471597,0.1,"[0.018354617342042356, 0.07135461734204163, -0.0897092346840832, 0.02500000000000001]"
173,-5.356721157483822,3.823278842516178,1.5334423149676462,0.125,"[-0.002827425534892569, 0.031172574465109903, -0.028345148930215114, 0.024999999999999994]"
174,-2.7592272947547487,2.352772705245252,0.4064545895094966,0.0,"[-2.30283729589539, 2.0012817517236563, 0.30155554417173464, 0.02500000000000001]"
175,-4.4635729929396915,3.8504270070603086,0.6131459858793827,0.025,"[-1.1148098035243923, 1.0026663869517982, 0.11214341657259441, 0.025]"
176,-5.103202902092138,4.450797097907862,0.6524058041842774,0.05,"[-0.36629490620802174, 0.35753842712531225, 0.008756479082709046, 0.024999999999999994]"
177,-5.342667003707277,4.683332996292724,0.6593340074145524,0.075,"[-0.12037040531072302, 0.11546292802261054, 0.0049074772881118195, 0.025]"
178,-5.3964405063991725,4.725559493600827,0.6708810127983454,0.1,"[0.01913776168830683, -0.03538604783550081, 0.01624828614719387, 0.02500000000000001]"
179,-5.365028963667294,4.662971036332708,0.7020579273345853,0.125,"[0.0011555476305700196, -0.05472540475037935, 0.05356985711980933, 0.024999999999999994]"
180,-2.66522352119671,2.78877647880329,-0.12355295760657971,0.0,"[-2.2606353709431386, 2.168245581437816, 0.09238978950532073, 0.02500000000000001]"
181,-4.337894882233485,4.414105117766515,-0.0762102355330305,0.025,"[-1.0907064938632116, 1.106817315660598, -0.016110821797386682, 0.025]"
182,-4.958831216351298,5.103168783648703,-0.14433756729740618,0.05,"[-0.357558161030344, 0.3996085056363222, -0.04205034460597769, 0.024999999999999994]"
183,-5.1986047190431925,5.331395280956807,-0.13279056191361374,0.075,"[-0.12574248023253715, 0.08542418643412858, 0.040318293798408844, 0.025]"
184,-5.260204283310243,5.331795716689757,-0.07159143337951343,0.1,"[0.008070483319763788, -0.08983427858499837, 0.08176379526523528, 0.02500000000000001]"
185,-5.239969655114602,5.218030344885397,0.021939310229205367,0.125,"[-0.007780872609549405, -0.09175706308573872, 0.09953793569528685, 0.024999999999999994]"
186,-2.507324865405187,3.0846751345948134,-0.5773502691896258,0.0,"[-2.16860733949242, 2.3413450414599617, -0.17273770196754362, 0.02500000000000001]"
